food,book,cul,cloth,travel,status
0.263017303,0.759434612,0.472158843,0.365708795,0.3311193,1
0.192397651,0.514149983,0.222986712,0.388257044,0.30784603,1
0.513996588,0.448345333,0.55466555,0.394885941,0.363454888,0
0.387733492,0.582956116,0.425998651,0.349614901,0.197455757,1
0.421674055,0.560780858,0.430535778,0.734413111,0.352037336,0
0.234692944,0.545177817,0.395706567,0.489244679,0.275919928,1
0.225660186,0.768352115,0.414229095,0.415383731,0.192116267,1
0.327399185,0.805613352,0.486881027,0.436828524,0.308819209,1
0.310352019,0.781646775,0.434631831,0.287631398,0.213642183,1
0.344841287,0.946763669,0.459594792,0.323624357,0.220069935,1
0.273021013,0.754848891,0.512265984,0.285817679,0.228350911,1
0.198026643,0.708362578,0.47941553,0.423118281,0.179106788,1
0.353246146,0.44425109,0.254973549,0.387229249,0.29777736,1
0.202443063,1.076270311,0.329006759,0.234296364,0.29785087,1
0.331972469,0.893379031,0.415292932,0.629236808,0.280770707,0
0.372209297,0.55223502,0.258879237,0.537914493,0.304134702,1
0.287692217,0.869962451,0.468166797,0.45766775,0.308086908,1
0.39681523,0.827621449,0.240048293,0.55094932,0.197944336,1
0.305120056,0.822874021,0.34463503,0.553060455,0.336176011,1
0.446503928,0.697809348,0.366591561,0.398243792,0.337501633,1
0.421268243,1.10166969,0.43849974,0.53260173,0.235552461,0
0.105528601,0.514120643,0.506806789,0.457494751,0.294856232,0
0.264406896,0.781955982,0.353226693,0.365921898,0.318602703,1
0.23277502,0.608032022,0.394632566,0.384764675,0.156818127,0
0.406002256,1.17698678,0.49618693,0.434703369,0.248790289,0
0.322701114,0.612654963,0.357451203,0.214864858,0.30832645,0
0.441146351,0.984503858,0.357892985,0.464372837,0.249912673,1
0.311006045,0.432713826,0.449667056,0.295033382,0.326788073,1
0.370737829,0.859127924,0.382753678,0.300384783,0.265659316,1
0.285708998,0.362843844,0.290767935,0.535537253,0.286832168,1
0.428205112,0.507211155,0.374572261,0.357028809,0.297333295,1
0.372167815,0.409237345,0.360807019,0.4844856,0.307230664,1
0.236610026,0.709248567,0.491844261,0.349636155,0.216535084,1
0.35940751,0.284328117,0.252344407,0.420495786,0.255789948,0
0.229697681,1.412565406,0.36775379,0.601682105,0.31721948,0
0.418987045,0.590007953,0.419353694,0.494445394,0.2923734,1
0.374903482,0.62973846,0.374562175,0.341870308,0.195689659,1
0.201580121,0.926385541,0.296947116,0.309461512,0.264164047,1
0.277671372,0.947998151,0.416737125,0.336525316,0.320196583,1
0.14723253,0.472233839,0.446608824,0.431537927,0.205858583,0
0.345540125,0.597872426,0.431095221,0.483832549,0.307173524,1
0.346542845,0.482794628,0.46241835,0.680580589,0.33231593,0
0.230960778,0.663613339,0.345826046,0.340687279,0.194742578,1
0.531803369,0.880075286,0.277075615,0.392678847,0.267316558,0
0.408963932,0.734041609,0.44701844,0.310389107,0.178276084,1
0.395012948,0.647769229,0.620528163,0.255561592,0.345575614,0
0.234920954,0.4903107,0.264515415,0.279771584,0.312698469,1
0.41558913,0.400271375,0.435701071,0.501334039,0.371410698,0
0.170304762,0.788311407,0.275051469,0.536634559,0.285421864,1
0.254218689,0.789351924,0.254493513,0.371143228,0.268929421,1
0.341433862,1.009171126,0.475708118,0.427120263,0.188866816,1
0.395958028,0.766425478,0.31770449,0.436307497,0.15781252,0
0.376190426,0.745449778,0.203670978,0.383255015,0.227708122,0
0.214319676,0.874994516,0.519488516,0.332915078,0.254192532,1
0.360208187,0.66756706,0.194483852,0.557277403,0.252569198,0
0.22000238,0.962567376,0.511488076,0.272877964,0.268355183,1
0.350570632,0.572904606,0.400613344,0.340016559,0.286137767,1
0.346149741,0.156931353,0.512119929,0.399128061,0.186870302,0
0.421441431,0.428079463,0.338490817,0.280795778,0.378124184,0
0.542843087,0.587478391,0.470596562,0.359571074,0.270011244,0
0.094782952,0.371642761,0.677244996,0.498150208,0.374197803,0
0.320483385,0.920003595,0.321166074,0.479369351,0.360474662,1
0.386583095,0.731683251,0.581970836,0.288802418,0.273824921,0
0.38370233,0.49930257,0.414600513,0.423097661,0.19558195,1
0.465312009,0.489036388,0.393381617,0.429928572,0.198772465,1
0.456936701,1.306846316,0.40845911,0.40510946,0.247961964,0
0.218665495,0.554828989,0.365166939,0.469913156,0.236613721,1
0.361275487,0.640896496,0.373702096,0.273889237,0.294983188,1
0.47127284,0.342485281,0.397021989,0.472437329,0.284738342,1
0.256200644,0.962506705,0.549704525,0.550862462,0.244540748,1
0.211169858,0.828287356,0.33619388,0.516702045,0.176304828,1
