comment,like,recom_cnt,unlike,url
삼성 댓글 알바는 BBC에서도 보도 됐지 오늘도 화이팅입니다요,2,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
우리가족은 삼성제품 안써요.,2,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
"중국은 미세먼지강국, 공산주의, 쫌생이 국가다. 망해야한다. 인도를 노려라.",3,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
삼성 갤럭시 s7. 1년쓰구 고장나게 만든거냐?,5,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
10퍼만 넘겨도 대박인데,5,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
엽충엽충 !!!! 쒼난다 쒼나 !! ㅋㅋ,7,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
"A9 프로 , C9 프로  국내에 좀 출시하자 .",0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
판매순위 기타 분류 업체의 마지막 발악?,8,0,5,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412960
멋지네,0,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412959
업데이트하면 모든게 바껴짐 아진짜 짱나서,0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=417&aid=0000252399
일등~~,0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=215&aid=0000552706
"기본적으로 아이폰을 주로 쓰고, 같은 안드로이드이면 소니 엑스페리아나 가성비 좋은 중국제 저렴하게 쓰지 터무니 없는 가격의 개럭시를 사냐?",0,1,4,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=008&aid=0003879095
나는 삼성은 싫다. 직원 죽는거 거들떠 안보면서 최순실 최유라한테 퍼주는 기업싫다. 다들 좋다해도 난 죽을때까지 안살거다.,2,0,5,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412638
일본에서 전혀 존재감없는 현대차와 삼성전자... 이런 기업을 small-in-Japan company라고 부릅니다,5,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412638
한국에서 소니나 화웨이 인식 수준이 일본에서 엘지 삼성 인식 수준임  솔직히 저 4개 회사들 다 잘만드는 회사들이지만 현실적으로 일본에서 갤럭시 잘팔리는거 기다리고 한국에서 엑스페리아 잘팔리는건 무리임 더군다나 As 까지 생각하면,2,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412638
일본은 자국의 소니 엑스페리아도 눌러버리는 아이폰점유율이 과반인 나라입니다 그리고 아이폰이 없어진다하더리도 갤럭시를 과반이 구매하진 않을겁니다 일본사람들은 한국제품을 일부러 무시하는 경향이 높다고 합니다,8,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412638
"기본적으로 아이폰을 주로 쓰고, 같은 안드로이드이면 소니 엑스페리아나 가성비 좋은 중국제 저렴하게 쓰지 터무니 없는 가격의 개럭시를 사냐?",2,0,5,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412638
"전세계적으로 다시는 핸드폰 발화 사고도 안 났으면 좋겠고 하자 없는 물건이 단 한개도 없었으면 좋겠다
그리고 일본에서도 삼성 갤럭시s8이랑 삼성 갤럭시s8 플러스가 흥행을 했으면 좋겠다",5,0,7,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000412638
갤럭시 노트5 공짜폰 풀리겟네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 노트7 리퍼 나오고 이번년도 노트8 준비중이니 노트5 20만원대 싸다고 사면 바보 되는꼴이겟지,1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=009&aid=0003949045
"동영상같이 '짜잔' 하고 잠금화면이 열리는 일은 일어나지 않았습니다. 아무리 따라해도 안되는
홍채인식은 이렇게 기사써가며 열변을 토하며 딴지를 거는데, 키보드에 뭍은 지문  누구나 쉽게 채취가능한 지문인식기능에는 보안에 대해서는 기사한번 안내네... 국내기업이라 삼성이 만만한거지...",53,9,15,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
지들이해보고 안되니까 핵심은 뚫렸다고 결론내는거보소,65,9,9,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
성기로 인식되는건 안만드나?  음밀한곳이라 복제하기도 힘들텐데,11,6,5,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
영상에선 한방에 뚫리더만 똑같이 해서 안되면 영상조작부터 의심해야지 결론이 뭐저래,7,1,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
애플 따라쟁이 삼성전자가 애플처럼 해킹 콘테스트를 개최해보는데 어떨가요? 블로터는 KAIST 정보보안 및 해킹동아리 GoN에게 의뢰를 했어야 했습니다. 대한민국 안위가 달린 일에 너무 자만했어요. 어제 U20축구 보는듯 하네요.,1,1,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
기술이 발전하면 원거리에서도 초고해상도로 홍채정보를 가져갈수도 있을지 모른다 라고? 그러면 홍채 생채인식을 개인인증 수단으로 사용하는 것이 무슨 의미가 있음?? 우리나라 국민 주민번호 다 털렸는데 주민번호로 본인인증 하는거랑 뭐가 다름? ㅋㅋㅋ,1,1,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
젤 확실한 방법은 메탈기어솔리드2의 한장면처럼 사람 기절시켜서 강제로 인증하는 방법인데 이건 해킹이 아니라 강력범죄 수준이라....... 근데 뚫려도 조만간 패치 뜰듯한데....... 얼마나 자세하게 영역을 나눠서 암호화시키느냐가 지문인식 및 홍채인식의 보안 척도 기준이라서ㅇㅇ,0,1,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
1억번 시도해서 한번이라도 뚫려도 보안에 문제있는거다 애플이 개발한 지문인식 봐라 본인 지문이 아니면 손가락 잘라가지 않는한 절대 안뚫림 카피캣이면 그냥 애플이나 계속 따라하지 괜히 새로운거 개발한다고 홍채 내놨다고 폭망하고 개망신당함,2,1,16,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
확률상 0.000000000000000000000000001%라고 하더라도 성공했다면 보안에 신경써야되는건 당연합니다. 삼성은 자만하지말고 더욱더 노력해서 0.000000000000000000000000001% 확률도 방어해야 합니다.,4,1,4,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
기사에서도 나오는 광고에서 '강력한' 이란 표현은 이제 과장광고이니 빼야 할 것 같네요.,12,1,14,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
해킹은 전문가가 하지 ~ 일반적 일반인이 하나 ~말이여 막걸리여 ~ 순실전자 변명꼬라지  ~,12,1,19,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
내가 그쪽분야 전문가라 여러가지 시도했지만 정말 불가능하다 아무나 하는거 아니다,5,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
범죄자들은 해킹을 시도한다...금융권이 무너지면..대한미국이 망한다...쉽게 생각하면 절대 않된다...,0,0,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
삼성 레이저 프린터를 써야 풀 수 있죠... 홍채마저 프린트한다! 삼성 레이저젯 프린터!,1,0,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
갤레기는 사는거 아니에요,1,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
홍체인식 기술이 아주 뛰어나구만!!!!!!!!!!,5,0,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
저렇게 쉽게 말한다면 지문은 사용햇던 유리컵.탈취 하면 되는거 아니냐.  고해상도 카메라로 지문 촬영 ㅋㅋㅋㅋ 으이구,0,0,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
성공못했는데 1500원 인쇄비는 무슨 말인지...,3,0,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
무슨 첩보원도 아니고? 홍채인식까지? 쓸데없는 기능만 계속 추가하네? 차라리 저장용량하고 램이나 늘려라..,4,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
자꾸 눈깔로 뭘 하려고 하냐. 손가락 한번 올리면 될걸. 아직 시기상조라 다른업체들이 안하고 있는거지. 애초에 샘숭기술도 아니고.,2,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=293&aid=0000019910
저렇게까지 하는 사용자가 몇명이나있나? 의미없는테스트이다. 소프트웨어최적화부문에서 적어도 엘지가 삼성보다 우위라고는 말 못하겠지.,4,3,17,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=468&aid=0000268723
그래도 갤7엣지가 g6보다 빠르다,3,1,5,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=468&aid=0000268723
그와중에 사쿠라 ㅋㅋ,10,1,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=468&aid=0000268723
엘지페이 나왔으니 무충 들어가고 사후지원 조금더 지켜보고 괜찮으면 좋은 대안이 될듯.,0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=468&aid=0000268723
지인 갤8 앱 8개정도 열어두니까 버벅이긴 하더라. 최상AP면 뭐하누. 최적화가 중요하지. 일정하게 쾌적한 속도를 보여주는 G6가 최적회면에서 더 낫다고 생각한다. V30에서 이정도 최적화에 스냅835면~! ?,2,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=468&aid=0000268723
"G6이 갤8보다 좋은건

카메라와 음질뿐 나머지는 모든게 갤럭시가 낫다.",2,0,5,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=468&aid=0000268723
헛소리하내ㅋㅋ,2,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=468&aid=0000268723
"갤8 18만점

G6 15만점  이걸로 종결",2,0,5,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=468&aid=0000268723
그런데 왜 안 팔림?,1,0,5,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=468&aid=0000268723
엘지야 아프지마,6,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=468&aid=0000268723
이유가 어찌됫든 느린거자나,1,0,4,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=468&aid=0000268723
갤8 유저인데 아... 뽀대좀 내보려 슬림케이스 씌웠는데 화장실 바닥에 한전 떨구니 와장창 ㅠㅠ 꼭 두꺼운 케이스 끼세요,10,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=468&aid=0000268723
오호 G6 짱이네,11,0,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=468&aid=0000268723
13만 8천원아님..?? 저런성능폰을 138만원에 파는데 점유율이 27%라고?,17,2,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
...... 뭔가 기사를 잘못 쓴 것 아닌가? ........... 루피에 0을 더 붙였다거나. 138 만원이면 비싸쟎아.,0,1,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
"인도어를 전공하여, 인도만 현재 3번째 방문 중에 있는 사람입니다.

기사의 138만원은 오보인 것 같으며 현재 환율 1루피당 17.35원 인것을 계산해 보면 가격은 138만원이 아닌
약 13만 8천여원인데, 오타를 내신 것 같습니다. 수정해주시면 감사하겠습니다.",0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
아 시밬 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 138만원 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 가격 좆된다 진짜 ㅋㅋㅋㅋㅋ,2,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
인도인들은 s8에 만족하지 못해 삼성이 특별히 138만원짤 스페셜에디션 j3 프로를 내놓음.,2,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
138만원ㅋㅋㅋ 창렬이닼ㅋㅋㅋ,1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
"7990루피가 13만 8천원인거죠.
이런 기사는 숫자. 표현에 주의해주셔야죠",1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
기자야 가격오타 났다 수정해라 스냅410에 램2기가 138만원에 팔면 미친거지,2,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
얘는 댓글 확인 안 하고 어뒤갔니?,1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
14만원이라 참 좋으네요. 우리나라에서도 판매해 주세요. 알뜰폰좀 쓰게. 미국가서 20만원짜리 J7을 사왔어요,0,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
7990루피 원화로 환산하니 13만 8천원 정도 나오네요. 기사 정정해주세요.,2,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
"저가폰 타이젠에도 빅스비 , 삼성페이 탑재하여야 한다",1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
왜 자꾸만 짱깨들이 갤럭시 윈도우 글라스 손으로 갈고 있는 장면이 떠오를까...,2,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
아마 13만 8천원을 잘못 쓴거 같은데 그래도 인도시장 2위의 경쟁업체인 샤오미 홍미시리즈에 비하면 상당히 비싸다. 8천 루피에 파는 위의 갤럭시폰 보다 싸게 7천 루피에 파는 샤오미 홍미 4 의 스펙을 보면 모든 면에서 갤럭시 J3 프로 폰을 압도하고 있다. 갤럭시는 머지않아 인도시장에서도 중국업체에 추월 당할 것이다.,0,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
13만8천원이지-_-;::,1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
"저런 쓰레기말고 쓸만하고 가성비 좋은걸 좀 만들어 팔아라 
우리나라에서나 중국폰보다 비싸도 삼성이니까 하면서 사주지 
인도는 어림도 없지 정신차리고 공략 제대로 해서 인도시장 꼭 먹길",0,0,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
그러니까 삼성이 기자님한테 뭔 잘못을 한거죠??? 울지말고 얘기해봐요,1,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
"기자야 !!!?바보냐??거짓기사낼래??
7990루피 한화로 보니 13만8546.60원나오는거 보니 13만8550원에 파는거 같구만??
겔럭시온프로가격이 9190루피해서 15만6천원에 파는거 보니!!!!?",0,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
138만원이 중저가?? 역시 인도재벌들은 달라,0,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
138만원? 갤석시s8살래,1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0003839169
"기록은 신뢰성이 있을때 가치가 있지요. 대외문서, 내부 문서 따로 만들려구요?",13,3,7,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
호오 폭탄 제조법을 남기는 걸 보니 군수업도 관심이 많은가보군요,9,2,4,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
뭘 백서를 따로 만들어? 폰이나 잘만들어,2,1,4,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
삼성도 이제 망해가네,4,1,5,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
윗선의 빨리빨리가 화를 키웠다.,0,1,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
소비자를 블랙컨슈머로 몰았다.,99,1,19,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
한국에서 블랙컨슈머로 몰고 갔던 것도 꼭 기록하여 남겨라.,104,1,15,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
이와중에 고동진사장 머리크다,1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
"백서? 처음부터 다 수거하고 제대로 원인규명 하면 될것을, 뭔 백서 ㅋ 국내/해외 차별 대응방향 분명 써있을듯.",0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
그래봐야 갤8 출시한 꼬라지 보면 품질관리 꼬라지 안고쳐짐 ㅋㅋ,3,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
바람직한 메뉴얼을 남겨야 재발안한다,3,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
"아직도 기억난다. 삼성이 한창 펑펑 터져서 마지못해 리콜할 때, 댓글 베댓이 ""역시 삼성이다."" 였지ㅋㅋ 아, 삼성알바는 고작 몇십명 규모가 아니구나.라는걸 알게해줬다.",2,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
삼성은 초기에 불량없는 제품만들겠다고 화형식도 하더니.. 이꼴나고 백서 제작은 얼어죽을 ㅋㅋ 초심으로 돌아가서 노트7 화형식해라~ 불량품 이름바꿔서 파는 개양아치 심보. 전량폐기한다며? 역시 순실순실 전자♥,2,0,3,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
http://m.ppomppu.co.kr/new/bbs_view.php?id=phone&amp;no=3316885&amp;page=1&amp;keyword=+%2B%BA%BC%B7%FD 갤레기 씨팔의 실체 ㅋㅋㅋ그리고 언플은 얼마나 해대는지 ㅋㅋ하여튼 한번 터진 폭탄은 계속 말썽이지 ㅋㅋㅋ,2,0,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
정부가 만드는 보고서를 백서라고 하는데 삼성이 의회에 보고하는가?? Case Report는 모든 회사에서 다 만드는 거임..,1,0,1,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
보여주기식 쓸데없는 에너지 낭비 하시는구만... 이미 해결다했다면서 .. 기술개발이나 신경써라.,1,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
뭐 언론플레이로 블랙컨슈머 만든걸 기록한다고?,0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
이명박이가 불법으로 만든 극우 이명박 방송국 종편 티비조선일보 방송허가점수 미달인데 방송허가 취소시키세요 종편방송 특혜도 바로잡아주세요,0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
"다 지난 다음에 적당히 자료 끌어모아 정리하면 용비어천가된다. 처음부터 백서를 만든다는 생각으로 빠짐없이 체계적으로 준비해야 진짜 백서가 나온다. 근본적으로 투명하고 체계적인 문서화가 작업과 실시간으로 병행되어 문서를 기반으로 모든 업무가 진행되는 효율적인 시스템을 갖춰야 한다. 이래야 지식이 데이터가되고 4차산업혁명에 참여할 수 있다. 이게 안되면 원시인, 호구되는 세상이 곧 들이 닥친다.",0,0,0,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
"이것이 바로 초일류 기업의 자세다, 실수에서 배움을 얻자,",0,0,2,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000371232
