"","x"
"anywhereâ€dno",2.69704461420711
"brightnessto",2.69613745739797
"yourselfi",2.69590310612068
"wifig",2.69589403557059
"whistle",2.69584236439457
"waistband",2.69577499447509
"vertical",2.69569015412369
"commentsapps",2.69565971400728
"thatbottom",2.69558887460021
"speedcons",2.69536724610585
"copied",2.69531754729975
"spacealso",2.6952278411566
"smallest",2.69509668150848
"cutter",2.69494761461964
"sleeping",2.69494115239482
"screenvery",2.69471452241692
"detailing",2.69460917067603
"puffin",2.6945471867965
"doable",2.69431270047981
"phonetips",2.69423003791725
"phoneso",2.69407716020977
"doablethis",2.69404839683185
"phonehope",2.6939300222947
"drives",2.69379989675285
"peppy",2.69379368358646
"outdoor",2.69366454375739
"opera",2.69354999040098
"formatting",2.69353451590399
"offâ€dthis",2.69345194532297
"frees",2.693389812948
"mice",2.69329079967286
"goal",2.69327482594331
"maxthon",2.69324139635823
"gym",2.69320057313915
"indoorspros",2.69319976012538
"lists",2.69319413970521
"wiz",2.54154839738726
"zooming",2.52591563790014
"gained",2.52125471211288
"define",2.46776873421156
"selfies",2.46169323666341
"indoor",2.44151923778812
"tricky",2.42897553821921
"topic",2.42896140767446
"userthe",2.42895199819746
"warrantymiscellaneoussomething",2.42893033738847
"timethe",2.42891925114586
"timesif",2.42887715083609
"thinga",2.4288229886592
"solved",2.42861969202982
"smoothlysaying",2.42853344881451
"settingconclusionthe",2.42838842308796
"allthe",2.428307894608
"screenshots",2.42818420171952
"sanpdragon",2.42792479359037
"sacrifices",2.42779154134319
"anyonenow",2.42774013600972
"resume",2.42765299517077
"restricted",2.42750905601549
"batterysince",2.42736496194427
"prolly",2.42734974379816
"privileges",2.42719368017436
"behave",2.42702525537056
"phoneaudiothis",2.42683668955447
"behaviors",2.42670058469216
"personalization",2.42667258029217
"perfectmemory",2.42650870458119
"benchmarks",2.42639038040084
"orangelike",2.42616755048121
"brights",2.42609420886936
"complains",2.42581483585682
"modify",2.42575888935095
"conclude",2.42556149681473
"lowest",2.42549453858176
"likescamerathis",2.42534336007449
"consequences",2.42524576973744
"layeris",2.42519704124991
"itin",2.42506203286719
"consideration",2.42503187910967
"itduo",2.42492333223841
"deeper",2.42466890651789
"hipster",2.42452014423027
"discussionas",2.42429258788635
"godesignthe",2.42424715352518
"displays",2.42418680453599
"gains",2.42416244369816
"easein",2.42409208596586
"endscreenthe",2.42404681080968
"frontal",2.42402020546641
"equation",2.42401530582145
"executes",2.42397965987017
"fromsoftwarehtc",2.42396810866749
"expectedbefore",2.42396283556816
"food",2.42393458634549
"fitting",2.42390968310004
"section",2.35072547392942
"ugly",2.28683614463803
"spigen",2.23841824341258
"theater",2.21932979231799
"thre",2.21932418112489
"swipping",2.21930167813584
"updateextras",2.2192953885091
"supposably",2.21926825839108
"usershas",2.21926444580047
"sunny",2.21924323549292
"usewho",2.21922735936713
"summer",2.21921439337599
"wellcrafted",2.2191820186091
"specsskip",2.21917439823003
"slothere",2.21913344801435
"yearis",2.21912867294854
"sleevecamera",2.21908566457401
"yearwhy",2.21906957520488
"sketch",2.21903633503836
"youdisplay",2.21900463206323
"serperately",2.21897492295144
"satisfiedmakes",2.21885144628376
"resulution",2.21877178363226
"providing",2.21852063527308
"powerperformance",2.21841953541916
"positivesdesign",2.21831658769628
"pleasedesign",2.21809315416374
"plastichas",2.21797351796765
"picturemotionsensors",2.21784890135222
"phonepeople",2.21771844791978
"phonehas",2.21758528341154
"aboutbattery",2.21756436222851
"passcode",2.21744492501601
"paragraph",2.21730251944226
"packs",2.21715726153336
"accurateremote",2.21692632460838
"orientation",2.216855052201
"opinionbelow",2.21669864522356
"acurate",2.2166371608564
"obsessed",2.21653527730694
"object",2.2163739412237
"appcamera",2.21633748822843
"nowperformance",2.21621015717969
"appfitbit",2.21607048676343
"modelsoftware",2.21602748316082
"arguably",2.21581558372438
"itstorage",2.21568885655934
"artwork",2.21557337970189
"iphoneis",2.2155280509146
"availablecan",2.21534261396677
"innovation",2.2152010386797
"barometer",2.21511319720338
"informationit",2.21504807112556
"bland",2.21490498520167
"hottest",2.21488931132417
"harmony",2.21470866752646
"handhas",2.21456669872052
"blurs",2.21456094212492
"graphic",2.21442037762125
"flex",2.2142879142078
"brothers",2.21428118689008
"cameraas",2.21413589350062
"camerafinal",2.21402250155019
"camerasimply",2.21392344306561
"experienceis",2.21389641007162
"captured",2.21382405873765
"elsepeople",2.21378776421017
"displayextra",2.21376044270452
"captures",2.21375958871709
"capturing",2.21371089585607
"disagree",2.21368573526561
"countsnegativesbattery",2.21368291222241
"compromising",2.21366370928142
"cartoon",2.21366285483723
"currentlydisplay",2.21365589887976
"channels",2.21364272428742
"chargeris",2.21363660101075
"steady",2.14040272496655
"tall",2.09913868358521
"tentative",2.08932759225178
"thermostat",2.0893246677121
"tofor",2.08931853463823
"uconnect",2.08928832771406
"smoothand",2.08927824791799
"viable",2.08927287758664
"sliding",2.08925256382578
"visible",2.08924487164611
"win",2.08921566932541
"shades",2.0891902509455
"screenits",2.08901197349153
"screenand",2.08894617841066
"resize",2.08878445304262
"quickeranother",2.08858343020187
"accustomed",2.0885586192741
"phonewe",2.0884024492036
"peopleand",2.0882958038075
"optics",2.08809240679277
"opportunities",2.08797910818872
"backthis",2.08781934854541
"officeall",2.08774141392463
"modulesbut",2.08761453764351
"bonkers",2.08759761414608
"method",2.08747225274693
"manyi",2.08733216114064
"bracketing",2.08733126481231
"lugging",2.08720437533637
"lug",2.08707484945595
"logitech",2.08694045686561
"cared",2.0868684766676
"lessen",2.08681085456592
"lenses",2.08668373559888
"chargerthis",2.08665729521345
"leaked",2.08656098399788
