date,addr,val
2006-01-10,강남구,128.6030503
2006-01-10,강동구,111.468967
2006-01-10,강북구,62.14740741
2006-01-10,강서구,74.52910082
2006-01-10,관악구,70.21480663
2006-01-10,광진구,103.4588679
2006-01-10,구로구,66.50018182
2006-01-10,금천구,51.67346154
2006-01-10,노원구,70.19096774
2006-01-10,도봉구,70.85851351
2006-01-10,동대문구,66.57473684
2006-01-10,동작구,94.0308134
2006-01-10,마포구,97.27988764
2006-01-10,서대문구,70.32052632
2006-01-10,서초구,137.204
2006-01-10,성동구,102.7814865
2006-01-10,성북구,64.83348837
2006-01-10,송파구,130.3274354
2006-01-10,양천구,118.9834351
2006-01-10,영등포구,87.93568254
2006-01-10,용산구,116.5415172
2006-01-10,은평구,55.91507692
2006-01-10,종로구,68.9008
2006-01-10,중구,118.1727778
2006-01-10,중랑구,67.17535354
2006-02-10,강남구,126.076807
2006-02-10,강동구,101.264031
2006-02-10,강북구,60.50254902
2006-02-10,강서구,82.00019493
2006-02-10,관악구,77.06378205
2006-02-10,광진구,108.1335385
2006-02-10,구로구,65.38461538
2006-02-10,금천구,55.43700599
2006-02-10,노원구,72.14672414
2006-02-10,도봉구,68.35877437
2006-02-10,동대문구,68.87175258
2006-02-10,동작구,98.99625
2006-02-10,마포구,98.23894737
2006-02-10,서대문구,69.63638095
2006-02-10,서초구,132.6589734
2006-02-10,성동구,104.4428682
2006-02-10,성북구,71.16519084
2006-02-10,송파구,130.3700694
2006-02-10,양천구,112.3949604
2006-02-10,영등포구,86.61524548
2006-02-10,용산구,123.2312438
2006-02-10,은평구,57.72601399
2006-02-10,종로구,87.02736842
2006-02-10,중구,107.8663158
2006-02-10,중랑구,64.83454545
2006-03-10,강남구,122.1911193
2006-03-10,강동구,119.5702151
2006-03-10,강북구,62.94573171
2006-03-10,강서구,86.24358323
2006-03-10,관악구,76.60325815
2006-03-10,광진구,107.0007942
2006-03-10,구로구,71.31305864
2006-03-10,금천구,58.25864583
2006-03-10,노원구,74.22256456
2006-03-10,도봉구,69.85972727
2006-03-10,동대문구,71.21822222
